block_id,regime_id
1,0
2,1
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,1
121,1
122,0
123,0
124,0
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,0
254,0
255,1
256,1
257,1
258,1
259,0
