,mean,std,min,max
mean_return,2.0575561846334946e-17,1.0019361102347035,-4.043213280442365,3.1253795259608643
volatility,2.4690674215601937e-16,1.0019361102347035,-1.257219434812636,4.91212871672315
max_drawdown,1.6460449477067957e-16,1.0019361102347035,-1.3652685767441584,5.4424492471861265
price_range,0.0,1.0019361102347035,-1.27701848726235,5.309129202220832
up_day_ratio,4.1151123692669897e-16,1.0019361102347035,-2.457402022080446,2.4523469394945256
avg_volume,1.7832153600156953e-16,1.0019361102347035,-1.3106075327081133,5.551138413738268
price_slope,-3.257797292336367e-17,1.0019361102347037,-4.008664442207031,2.90476571244498
ma_slope,-1.543167138475121e-17,1.0019361102347035,-3.937303634650272,3.5377750148916656
vol_percentile,-1.6460449477067957e-16,1.0019361102347035,-1.9647549172090804,1.5290336303553858
vol_of_vol,0.0,1.0019361102347035,-1.1324023867970012,5.3730013221040975
bb_width_avg,-3.017749070795792e-16,1.0019361102347035,-1.4145145299775457,5.586421853808105
pct_inside_1std,8.487419261613166e-16,1.0019361102347037,-2.8412106129100017,2.3476413333596122
up_vol_ratio,8.418834055458716e-16,1.0019361102347037,-1.9376736306488584,4.249578957532759
vol_price_corr,-1.3717041230889965e-17,1.0019361102347035,-2.846388883762847,2.5225565039018107
avg_dd_length,1.2345337107800968e-16,1.0019361102347037,-0.9453037703709696,3.220533367556977
avg_dd_depth,2.1947265969423944e-16,1.0019361102347037,-0.9366314908726654,5.360344265890705
